Date,Day,Wom,Month,Year,Offered,Adj-off
12-Dec-13,Thursday,2,Dec,2013,721,721
13-Dec-13,Friday,2,Dec,2013,692,620
14-Dec-13,Saturday,2,Dec,2013,426,358
15-Dec-13,Sunday,3,Dec,2013,278,278
16-Dec-13,Monday,3,Dec,2013,724,656
17-Dec-13,Tuesday,3,Dec,2013,685,651
18-Dec-13,Wednesday,3,Dec,2013,708,615
19-Dec-13,Thursday,3,Dec,2013,739,739
20-Dec-13,Friday,3,Dec,2013,707,690
21-Dec-13,Saturday,3,Dec,2013,498,418
22-Dec-13,Sunday,4,Dec,2013,323,287
23-Dec-13,Monday,4,Dec,2013,691,753
24-Dec-13,Tuesday,4,Dec,2013,439,439
25-Dec-13,Wednesday,4,Dec,2013,153,707
26-Dec-13,Thursday,4,Dec,2013,679,679
27-Dec-13,Friday,4,Dec,2013,609,609
28-Dec-13,Saturday,4,Dec,2013,364,364
29-Dec-13,Sunday,5,Dec,2013,257,257
30-Dec-13,Monday,5,Dec,2013,720,753
31-Dec-13,Tuesday,5,Dec,2013,379,379
1-Jan-14,Wednesday,1,Jan,2014,174,707
2-Jan-14,Thursday,1,Jan,2014,368,368
3-Jan-14,Friday,1,Jan,2014,415,415
4-Jan-14,Saturday,1,Jan,2014,262,262
5-Jan-14,Sunday,1,Jan,2014,177,177
6-Jan-14,Monday,1,Jan,2014,447,447
7-Jan-14,Tuesday,1,Jan,2014,345,345
8-Jan-14,Wednesday,2,Jan,2014,390,390
9-Jan-14,Thursday,2,Jan,2014,391,391
10-Jan-14,Friday,2,Jan,2014,408,408
11-Jan-14,Saturday,2,Jan,2014,234,234
12-Jan-14,Sunday,2,Jan,2014,190,190
13-Jan-14,Monday,2,Jan,2014,424,424
14-Jan-14,Tuesday,2,Jan,2014,369,369
15-Jan-14,Wednesday,3,Jan,2014,393,393
16-Jan-14,Thursday,3,Jan,2014,758,758
17-Jan-14,Friday,3,Jan,2014,475,475
18-Jan-14,Saturday,3,Jan,2014,278,278
19-Jan-14,Sunday,3,Jan,2014,181,181
20-Jan-14,Monday,3,Jan,2014,392,392
21-Jan-14,Tuesday,3,Jan,2014,380,380
22-Jan-14,Wednesday,4,Jan,2014,395,395
23-Jan-14,Thursday,4,Jan,2014,397,397
